Estados,yogod,(,),{,solado,;,},?,yoint,yofloat,yobool,yochar,alfabeto,",",,int,float,bool,char,scanfi,printfi,+,“,eoq,holy,fon,circo,trab,soled,:,break,lag,id,!,==,!=,>,>=,<,<=,-,/,*,%,++,--,&&,||,TRUE,FALSE,=,número,underscore,$,S',YOGOD,EXPR,CMT,DV,TIPO,NOMEVAR,EV,VALOR,INOUT,INPUT,OUTPUT,OUTPUTVAR,OUTPUTTEXT,DE,CASOIF,CASOELSE,CASO,F,STMT,OP,OPARITMETICO,TERMOARITMETICO,FATORARITMETICO,UNARIO,OPLOGICO,TERMOLOGICO,FATORLOGICO,OPRELACIONAL,OPARITMETICO1,OPARITMETICO2,OPARITMETICO3,OPLOGICO1,OPLOGICO2,OA,ANU
98,,R53,R53,,R53,R53,R53,R53,R53,R53,R53,R53,,,,,,,,R53,R53,R53,,R53,R53,R53,R53,,,,R53,,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,E99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,27,38,28,,,,,,,,,,,
100,,R57,R57,,R57,R57,R57,R57,R57,R57,R57,R57,,,,R57,R57,R57,R57,R57,R57,,,R57,R57,R57,R57,,,,R57,,R57,R57,R57,R57,R57,R57,R57,R57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,R60,R60,,R60,R60,R60,R60,R60,R60,R60,R60,,,,R60,R60,R60,R60,R60,R60,,,R60,R60,R60,R60,,,,R60,,R60,R60,R60,R60,R60,R60,R60,R60,,,,,,,R60,R60,R60,R60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,E102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E101,E42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,29,40,,,,,,,,
103,,,E123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,E124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,E125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,R26,,,,,,,,,,,,,,,,,,,E126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,E51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E52,E53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127
108,,R52,R52,,R52,R52,R52,R52,R52,R52,R52,R52,,,,,,,,R52,R52,R52,,R52,R52,R52,R52,,,,R52,,R52,R52,R52,R52,R52,R52,R52,R52,R52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,R59,R59,,R59,R59,R59,R59,R59,R59,R59,R59,,,,R59,R59,R59,R59,R59,R59,,,R59,R59,R59,R59,,,,R59,,R59,R59,R59,R59,R59,R59,R59,R59,,,,,,,R59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,R54,R54,,R54,R54,R54,R54,R54,R54,R54,R54,,,,,,,,R54,R54,R54,,R54,R54,R54,R54,,,,R54,,R54,R54,R54,R54,R54,R54,R54,R54,R54,R54,R54,R54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,R62,R62,,R62,R62,R62,R62,R62,R62,R62,R62,,,,R62,R62,R62,R62,R62,R62,,,R62,R62,R62,R62,,,,R62,,R62,R62,R62,R62,R62,R62,R62,R62,,,,,,,R62,R62,R62,R62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,E128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,R8,,,R8,,R8,R8,R8,R8,R8,R8,,,,,,,,R8,R8,,,R8,R8,R8,R8,,,,R8,,R8,R8,R8,R8,R8,R8,R8,R8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,E80,,,,,,,,E78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E81,,,,,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,79,
116,,,,,,,,,,,,,,,E130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,E132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,,,,,,,
118,,,,E132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,E86,E87,E88,E89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E136,,,E137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,,,,,,,
121,,R7,,,R7,,R7,R7,R7,R7,R7,R7,,,,,,,,R7,R7,,,R7,R7,R7,R7,,,,R7,,R7,R7,R7,R7,R7,R7,R7,R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,R53,R53,,R53,R53,R53,R53,R53,R53,R53,R53,,,,,,,,R53,R53,R53,,R53,R53,R53,R53,,,,R53,,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,E66,E67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,
123,,,,,,E138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,E139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,E140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,E45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,141,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,E142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,R63,R63,,R63,R63,R63,R63,R63,R63,R63,R63,,,,R63,R63,R63,R63,R63,R63,,,R63,R63,R63,R63,,,,R63,,R63,R63,R63,R63,R63,R63,R63,R63,,,,,,,R63,R63,R63,R63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,R14,,,,,,R14,R14,R14,R14,R14,,,,,,,,R14,R14,,,R14,R14,R14,R14,,,,,,R14,R14,R14,R14,R14,R14,R14,R14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,E143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,E145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,
132,,E41,,,,,,E17,E23,E24,E25,E26,,,,,,,,E36,E37,,,E13,E14,E15,E16,,,,,,E39,E42,E30,E31,E32,E33,E34,E35,,,,,,,,,,,,,,,,,146,9,7,12,,,,11,21,22,,,8,,,,,,10,18,27,38,28,19,29,40,20,,,,,,,
133,,E41,,,,,,E17,E23,E24,E25,E26,,,,,,,,E36,E37,,,E13,E14,E15,E16,,,,,,E39,E42,E30,E31,E32,E33,E34,E35,,,,,,,,,,,,,,,,,147,9,7,12,,,,11,21,22,,,8,,,,,,10,18,27,38,28,19,29,40,20,,,,,,,
134,,E102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E101,E42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,29,40,,,,,,,,
135,,E41,,,,,,E17,E23,E24,E25,E26,,,,,,,,E36,E37,,,E13,E14,E15,E16,,,,,,E39,E42,E30,E31,E32,E33,E34,E35,,,,,,,,,,,,,,,,,149,9,7,12,,,,11,21,22,,,8,,,,,,10,18,27,38,28,19,29,40,20,,,,,,,
136,,,,,,,,,,,,,E51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E52,E53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,R23,,,R23,,R23,R23,R23,R23,R23,R23,,,,,,,,R23,R23,,,R23,R23,R23,R23,,,,R23,,R23,R23,R23,R23,R23,R23,R23,R23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,R24,,,R24,,R24,R24,R24,R24,R24,R24,,,,,,,,R24,R24,,,R24,R24,R24,R24,,,,R24,,R24,R24,R24,R24,R24,R24,R24,R24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,R25,,,R25,,R25,R25,R25,R25,R25,R25,,,,,,,,R25,R25,,,R25,R25,R25,R25,,,,R25,,R25,R25,R25,R25,R25,R25,R25,R25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,R27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,R28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,R15,,,,,,R15,R15,R15,R15,R15,,,,,,,,R15,R15,,,R15,R15,R15,R15,,,,,,R15,R15,R15,R15,R15,R15,R15,R15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,E41,,,,,,E17,E23,E24,E25,E26,,,,,,,,E36,E37,,,E13,E14,E15,E16,,,,,,E39,E42,E30,E31,E32,E33,E34,E35,,,,,,,,,,,,,,,,,152,9,7,12,,,,11,21,22,,,8,,,,,,10,18,27,38,28,19,29,40,20,,,,,,,
145,,,,E132,,,,,,,,,,,,,,,,,,,,E154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,,,,,,,
146,,,,,,,E155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,R30,,,R30,,R30,R30,R30,R30,R30,R30,,,,,,,,R30,R30,,,R30,R30,R30,R30,,,,R30,,R30,R30,R30,R30,R30,R30,R30,R30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,E86,E87,E88,E89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,R32,,,R32,,R32,R32,R32,R32,R32,R32,,,,,,,,R32,R32,,,R32,R32,R32,R32,,,,R32,,R32,R32,R32,R32,R32,R32,R32,R32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,E41,,,,,,E17,E23,E24,E25,E26,,,,,,,,E36,E37,,,E13,E14,E15,E16,,,,,,E39,E42,E30,E31,E32,E33,E34,E35,,,,,,,,,,,,,,,,,158,9,7,12,,,,11,21,22,,,8,,,,,,10,18,27,38,28,19,29,40,20,,,,,,,
152,,R29,,,R29,,R29,R29,R29,R29,R29,R29,,,,,,,,R29,R29,,,R29,R29,R29,R29,,,,R29,,R29,R29,R29,R29,R29,R29,R29,R29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,E41,,,,,,E17,E23,E24,E25,E26,,,,,,,,E36,E37,,,E13,E14,E15,E16,,,,,,E39,E42,E30,E31,E32,E33,E34,E35,,,,,,,,,,,,,,,,,159,9,7,12,,,,11,21,22,,,8,,,,,,10,18,27,38,28,19,29,40,20,,,,,,,
154,,E160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,R42,,,,,,R42,R42,R42,R42,R42,,,,,,,,R42,R42,,,R42,R42,R42,R42,R42,,,,,R42,R42,R42,R42,R42,R42,R42,R42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,E161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,E41,,,,,,E17,E23,E24,E25,E26,,,,,,,,E36,E37,,,E13,E14,E15,E16,,,,,,E39,E42,E30,E31,E32,E33,E34,E35,,,,,,,,,,,,,,,,,162,9,7,12,,,,11,21,22,,,8,,,,,,10,18,27,38,28,19,29,40,20,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,R33,,,,,,R33,R33,R33,R33,R33,,,,,,,,R33,R33,,,R33,R33,R33,R33,,,,,,R33,R33,R33,R33,R33,R33,R33,R33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,E41,,,,,,,,,,,,,,E86,E87,E88,E89,,,,,,,,,,,,,,E39,E42,E30,E31,E32,E33,E34,E35,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,164,85,18,27,38,28,19,29,40,20,,,,,,,
161,,E41,,,,,,,,,,,,,,E86,E87,E88,E89,,,,,,,,,,,,,,E39,E42,E30,E31,E32,E33,E34,E35,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,165,85,18,27,38,28,19,29,40,20,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,E167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,E168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,E169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,E170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,R41,,,,,,R41,R41,R41,R41,R41,,,,,,,,R41,R41,,,R41,R41,R41,R41,,,,,,R41,R41,R41,R41,R41,R41,R41,R41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,E132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,,,,,,,,,,,,,,
169,,,,E132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,,,,,,,,,,,,,,,,
170,,R40,,,,,,R40,R40,R40,R40,R40,,,E173,,,,,R40,R40,,,R40,R40,R40,R40,,,,,,R40,R40,R40,R40,R40,R40,R40,R40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,E41,,,,,,E17,E23,E24,E25,E26,,,,,,,,E36,E37,,,E13,E14,E15,E16,E176,,,,,E39,E42,E30,E31,E32,E33,E34,E35,,,,,,,,,,,,,,,,,175,9,7,12,,,,11,21,22,,,8,,174,,,,10,18,27,38,28,19,29,40,20,,,,,,,
172,,E41,,,,,,E17,E23,E24,E25,E26,,,,,,,,E36,E37,,,E13,E14,E15,E16,,,,,,E39,E42,E30,E31,E32,E33,E34,E35,,,,,,,,,,,,,,,,,177,9,7,12,,,,11,21,22,,,8,,,,,,10,18,27,38,28,19,29,40,20,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E136,,,E137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,,,,,,,,,,,,,,,,,,
174,,R34,,,,,,R34,R34,R34,R34,R34,,,,,,,,R34,R34,,,R34,R34,R34,R34,,,,,,R34,R34,R34,R34,R34,R34,R34,R34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,R35,,,,,,R35,R35,R35,R35,R35,,,,,,,,R35,R35,,,R35,R35,R35,R35,,,,,,R35,R35,R35,R35,R35,R35,R35,R35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,E132,,,,,,,,,,,,,,,,,,,,E179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,
177,,R31,,,R31,,R31,R31,R31,R31,R31,R31,,,,,,,,R31,R31,,,R31,R31,R31,R31,,,,R31,,R31,R31,R31,R31,R31,R31,R31,R31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,R39,,,,,,R39,R39,R39,R39,R39,,,,,,,,R39,R39,,,R39,R39,R39,R39,,,,,,R39,R39,R39,R39,R39,R39,R39,R39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,E181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,E41,,,,,,E17,E23,E24,E25,E26,,,,,,,,E36,E37,,,E13,E14,E15,E16,,,,,,E39,E42,E30,E31,E32,E33,E34,E35,,,,,,,,,,,,,,,,,182,9,7,12,,,,11,21,22,,,8,,,,,,10,18,27,38,28,19,29,40,20,,,,,,,
181,,E41,,,,,,,,,,,,,,E86,E87,E88,E89,,,,,,,,,,,,,,E39,E42,E30,E31,E32,E33,E34,E35,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,183,85,18,27,38,28,19,29,40,20,,,,,,,
182,,R38,,,,,,R38,R38,R38,R38,R38,,,,,,,,R38,R38,,,R38,R38,R38,R38,,,,,,R38,R38,R38,R38,R38,R38,R38,R38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,E184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,E132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,,,,,,,,,,,,,,,
185,,E41,,,,,,E17,E23,E24,E25,E26,,,,,,,,E36,E37,,,E13,E14,E15,E16,E176,,,,,E39,E42,E30,E31,E32,E33,E34,E35,,,,,,,,,,,,,,,,,187,9,7,12,,,,11,21,22,,,8,,186,,,,10,18,27,38,28,19,29,40,20,,,,,,,
186,,R36,,,,,,R36,R36,R36,R36,R36,,,,,,,,R36,R36,,,R36,R36,R36,R36,,,,,,R36,R36,R36,R36,R36,R36,R36,R36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,R37,,,,,,R37,R37,R37,R37,R37,,,,,,,,R37,R37,,,R37,R37,R37,R37,,,,,,R37,R37,R37,R37,R37,R37,R37,R37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
